Program Acronym,Program Full Name,User Facility Acronym,User Facility Full Name,User Facility Host Institution Acronym,User Facility Host Institution Name,Project/Experiment Title,Project/Experiment Type,Home Institution Name,Home Institution City,Home Institution State/Province/Territory,Home Institution Country,Industry?,Home Institution Type
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
